file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines
./OpenStack/nova/nova/block_device.py,0,1,8,0,0,4,0,3,0,695
./OpenStack/nova/nova/cache_utils.py,1,0,2,0,0,0,0,0,0,116
./OpenStack/nova/nova/config.py,0,0,0,0,0,0,0,0,0,110
./OpenStack/nova/nova/context.py,12,1,7,0,0,3,0,1,2,544
./OpenStack/nova/nova/crypto.py,0,0,0,0,0,0,0,1,0,254
./OpenStack/nova/nova/debugger.py,0,0,1,0,0,0,0,0,0,60
./OpenStack/nova/nova/exception.py,0,1,0,0,1,0,0,0,0,2523
./OpenStack/nova/nova/exception_wrapper.py,0,0,2,0,0,0,0,0,1,93
./OpenStack/nova/nova/filesystem.py,1,0,0,0,0,0,0,0,0,59
./OpenStack/nova/nova/filters.py,1,0,2,0,0,1,0,2,1,122
./OpenStack/nova/nova/i18n.py,0,0,0,0,0,0,0,0,0,36
./OpenStack/nova/nova/loadables.py,0,1,0,0,1,1,0,0,0,117
./OpenStack/nova/nova/manager.py,1,0,0,0,1,0,0,0,0,148
./OpenStack/nova/nova/middleware.py,0,0,0,0,0,0,0,0,0,41
./OpenStack/nova/nova/monkey_patch.py,0,0,0,0,0,1,0,0,0,89
./OpenStack/nova/nova/policy.py,1,0,1,0,0,1,0,1,1,286
./OpenStack/nova/nova/profiler.py,0,1,4,0,0,0,0,0,0,73
./OpenStack/nova/nova/quota.py,71,26,15,0,4,8,0,4,3,1478
./OpenStack/nova/nova/rpc.py,4,0,6,0,4,1,0,0,1,442
./OpenStack/nova/nova/safe_utils.py,0,0,2,0,0,0,0,0,0,41
./OpenStack/nova/nova/service.py,12,0,1,0,3,5,0,0,1,492
./OpenStack/nova/nova/service_auth.py,0,1,1,0,0,0,0,1,0,53
./OpenStack/nova/nova/test.py,3,2,11,0,8,9,0,3,1,967
./OpenStack/nova/nova/utils.py,10,5,20,0,2,4,0,2,0,1146
./OpenStack/nova/nova/version.py,0,0,2,0,0,0,0,0,0,98
./OpenStack/nova/nova/weights.py,1,1,3,0,0,1,0,0,0,172
./OpenStack/nova/nova/wsgi.py,0,0,0,0,0,2,0,1,0,225
./OpenStack/nova/nova/__init__.py,0,0,0,0,0,0,0,0,0,24
./OpenStack/swift/swift/__init__.py,0,0,1,0,0,0,0,2,0,100
./OpenStack/swift/test/debug_logger.py,0,1,3,0,3,1,0,0,1,297
./OpenStack/swift/test/__init__.py,1,1,1,0,0,0,0,0,0,147
./OpenStack/horizon/doc/source/conf.py,0,0,0,0,0,0,0,0,0,344
./OpenStack/horizon/horizon/browsers/base.py,0,0,0,0,0,1,0,0,1,147
./OpenStack/horizon/horizon/browsers/breadcrumb.py,0,0,0,0,0,0,0,0,0,45
./OpenStack/horizon/horizon/browsers/views.py,0,0,0,0,1,0,0,0,0,112
./OpenStack/horizon/horizon/browsers/__init__.py,0,0,0,0,0,0,0,0,0,23
./OpenStack/horizon/horizon/conf/default.py,0,0,0,0,0,0,0,0,0,49
./OpenStack/horizon/horizon/conf/__init__.py,0,0,0,0,0,0,0,0,0,55
./OpenStack/horizon/horizon/contrib/bootstrap_datepicker.py,0,0,0,0,0,0,0,0,0,68
./OpenStack/horizon/horizon/contrib/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/forms/base.py,0,0,0,0,1,0,0,0,0,61
./OpenStack/horizon/horizon/forms/fields.py,2,0,6,0,5,4,0,1,7,659
./OpenStack/horizon/horizon/forms/views.py,0,0,1,0,1,1,0,1,0,224
./OpenStack/horizon/horizon/forms/__init__.py,0,0,0,0,0,0,0,0,0,94
./OpenStack/horizon/horizon/hacking/checks.py,0,0,0,0,0,0,0,0,0,40
./OpenStack/horizon/horizon/hacking/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/management/__init__.py,0,0,0,0,0,0,0,0,0,0
./OpenStack/horizon/horizon/middleware/base.py,0,1,3,0,0,3,0,4,0,213
